"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"369",11,"Zavion Thomas",CHI,"WR130","10","-","-","3 out of 5 stars","-","-","-"
"370",11,"Tampa Bay Buccaneers",TB,"DST25","10","-","-","4 out of 5 stars","-","-0.7","25% (4/16)"
"371",11,"KaVontae Turpin",DAL,"WR131","14","-","-","2 out of 5 stars","-","+0.9","42% (6/14)"
"372",11,"Michael Carter",TEN,"RB105","9","-","-","3 out of 5 stars","-","+0.3","50% (5/10)"
"373",11,"Raheim Sanders",CLE,"RB106","11","-","-","3 out of 5 stars","-","0.0","33% (1/3)"
"374",11,"Anthony Richardson Sr.",IND,"QB41","13","-","-","4 out of 5 stars","-","-0.1","16% (1/6)"
"375",11,"Trey Smack",GB,"K21","11","-","-","4 out of 5 stars","-172","-","-"
"376",11,"Savion Williams",GB,"WR132","11","-","-","5 out of 5 stars","-","-0.5","41% (5/12)"
"377",11,"Demarcus Robinson",SF,"WR133","8","-","-","2 out of 5 stars","-","-0.6","38% (5/13)"
"378",11,"Dont'e Thornton Jr.",LV,"WR134","13","-","-","2 out of 5 stars","-","-2.9","0% (0/14)"
"379",11,"Kevin Coleman Jr.",MIA,"WR135","6","-","-","3 out of 5 stars","-","-","-"
"380",11,"Rasheen Ali",BAL,"RB107","13","-","-","3 out of 5 stars","-","+0.5","35% (5/14)"
"381",11,"Tommy Tremble",CAR,"TE52","5","-","-","2 out of 5 stars","-","-0.3","31% (5/16)"
"382",11,"Ben Sinnott",WAS,"TE53","7","-","-","1 out of 5 stars","-","+0.1","40% (6/15)"
"383",11,"Noah Fant",NO,"TE54","8","-","-","2 out of 5 stars","-","-0.3","28% (4/14)"
"384",11,"Odell Beckham Jr.",NYG,"WR136","8","-","-","4 out of 5 stars","-113","-","-"
"385",11,"Tutu Atwell",LAR,"WR137","11","-","-","1 out of 5 stars","-83","-0.6","22% (2/9)"
"386",11,"Colbie Young",CIN,"WR138","6","-","-","4 out of 5 stars","-","-","-"
"387",11,"Joe Flacco",CIN,"QB42","6","-","-","3 out of 5 stars","-","+0.9","33% (5/15)"
"388",11,"CJ Daniels",LAR,"WR139","11","-","-","1 out of 5 stars","-","-","-"
"389",11,"J'Mari Taylor",JAC,"RB108","7","-","-","4 out of 5 stars","-","-","-"
"390",11,"Jaylin Lane",WAS,"WR140","7","-","-","2 out of 5 stars","-","-","-"
"391",11,"John Metchie III",CAR,"WR141","5","-","-","2 out of 5 stars","-","+0.1","33% (5/15)"
"392",11,"Kyle Juszczyk",SF,"RB109","8","-","-","2 out of 5 stars","-","-","-"
"393",11,"Sione Vaki",DET,"RB110","6","-","-","5 out of 5 stars","-","-","-"
"394",11,"Mitchell Evans",CAR,"TE55","5","-","-","2 out of 5 stars","-","+0.8","56% (9/16)"
"395",11,"Daniel Bellinger",TEN,"TE56","9","-","-","3 out of 5 stars","-","-","-"
"396",11,"Jawhar Jordan",HOU,"RB111","8","-","-","4 out of 5 stars","-","+0.1","50% (1/2)"
"397",11,"Jameis Winston",NYG,"QB43","8","-","-","4 out of 5 stars","-","+3.1","20% (1/5)"
"398",11,"Tennessee Titans",TEN,"DST26","9","-","-","2 out of 5 stars","-81","-0.2","37% (6/16)"
"399",11,"Justin Joly",FA,"TE57","-","-","-","-","-","-","-"
"400",11,"Jordan Whittington",LAR,"WR142","11","-","-","1 out of 5 stars","-","-1.2","18% (3/16)"
"401",11,"Marlin Klein",HOU,"TE58","8","-","-","4 out of 5 stars","-","-","-"
"402",11,"Marcus Mariota",WAS,"QB44","7","-","-","2 out of 5 stars","-","0.0","33% (5/15)"
"403",11,"Austin Ekeler",FA,"RB112","-","-","-","-","-150","-","-"
"404",11,"Daniel Carlson",NO,"K22","8","-","-","5 out of 5 stars","-","-1.0","31% (5/16)"
